section,group,name,note,batch_1,batch_2,batch_3
breakdown,rotation,DSIM_latency_cycles,cycles; F5,540.00,720.00,540.00
breakdown,rotation,Outfifo_latency_cycles,cycles; F5,1080.00,1440.00,1080.00
breakdown,rotation,pipeline_latency_cycles,cycles; F5,5130.00,5400.00,5130.00
breakdown,rotation,rotation_data_bytes,B; F5,493714.29,184320.00,394971.43
breakdown,rotation,pipeline_latency_time_ns,ns; F5,20893.09,14400.00,20893.09
breakdown,rotation,pipeline_latency_lines,F5,6.02,4.54,7.22
breakdown,rotation,tx_allow_time_ns,ns; F5,173551.35,188542.67,141143.95
breakdown,rotation,tx_allow_lines,F5,49.98,59.46,48.78
breakdown,rotation,IB_rotation_preload_MBps,MB/s; F5,3698.21,1417.53,3637.87
breakdown,rotation,status,computed,computed,computed,computed
breakdown,L1_Camera,name,,L1_Camera,,L1_Camera
breakdown,L1_Camera,fmt,,YUV_8B,,YUV_8B
breakdown,L1_Camera,dst_w,,N/A,,N/A
breakdown,L1_Camera,dst_h,,N/A,,N/A
breakdown,L1_Camera,bpp,bits/pixel,12,,12
breakdown,L1_Camera,read_line,lines,64,,64
breakdown,L1_Camera,lmc,lines,4,,4
breakdown,L1_Camera,compressed,,False,,False
breakdown,L1_Camera,compression_mode,,sajc,,sajc
breakdown,L1_Camera,hdr,,False,,False
breakdown,L1_Camera,scaling,,False,,False
breakdown,L1_Camera,rotation,,True,,True
breakdown,L1_Camera,dpuf,index,0,,0
breakdown,L1_Camera,scale_v,ratio,1.00,,1.00
breakdown,L1_Camera,stream_coeff,ratio,3.00,,3.00
breakdown,L1_Camera,rot_init_data_bytes,B,296228.57,,296228.57
breakdown,L1_Camera,comp_data_bytes,B,0.00,,0.00
breakdown,L1_Camera,scaler_data_bytes,B,0.00,,0.00
breakdown,L1_Camera,pipeline_data_bytes,B,296228.57,,296228.57
breakdown,L1_Camera,streaming_MBps,MB/s,1028.06,,1233.68
breakdown,L1_Camera,rotation_demanded_MBps,MB/s,1706.86,,2098.77
breakdown,L5_UI,name,,L5_UI,,L5_UI
breakdown,L5_UI,fmt,,RGB_4B,,RGB_4B
breakdown,L5_UI,dst_w,,N/A,,N/A
breakdown,L5_UI,dst_h,,N/A,,N/A
breakdown,L5_UI,bpp,bits/pixel,32,,32
breakdown,L5_UI,read_line,lines,8,,8
breakdown,L5_UI,lmc,lines,8,,8
breakdown,L5_UI,compressed,,True,,True
breakdown,L5_UI,compression_mode,,sajc,,sajc
breakdown,L5_UI,hdr,,False,,False
breakdown,L5_UI,scaling,,False,,False
breakdown,L5_UI,rotation,,False,,False
breakdown,L5_UI,dpuf,index,0,,0
breakdown,L5_UI,scale_v,ratio,1.00,,1.00
breakdown,L5_UI,stream_coeff,ratio,2.00,,2.00
breakdown,L5_UI,rot_init_data_bytes,B,0.00,,0.00
breakdown,L5_UI,comp_data_bytes,B,34560.00,,34560.00
breakdown,L5_UI,scaler_data_bytes,B,0.00,,0.00
breakdown,L5_UI,pipeline_data_bytes,B,34560.00,,34560.00
breakdown,L5_UI,streaming_MBps,MB/s,685.38,,822.45
breakdown,L5_UI,rotation_demanded_MBps,MB/s,N/A,,N/A
breakdown,L9_PIP,name,,L9_PIP,L9_PIP,
breakdown,L9_PIP,fmt,,YUV_8B,YUV_8B,
breakdown,L9_PIP,dst_w,,N/A,N/A,
breakdown,L9_PIP,dst_h,,N/A,N/A,
breakdown,L9_PIP,bpp,bits/pixel,12,12,
breakdown,L9_PIP,read_line,lines,64,64,
breakdown,L9_PIP,lmc,lines,4,4,
breakdown,L9_PIP,compressed,,False,False,
breakdown,L9_PIP,compression_mode,,sajc,sajc,
breakdown,L9_PIP,hdr,,False,False,
breakdown,L9_PIP,scaling,,False,False,
breakdown,L9_PIP,rotation,,True,True,
breakdown,L9_PIP,dpuf,index,1,1,
breakdown,L9_PIP,scale_v,ratio,1.00,1.00,
breakdown,L9_PIP,stream_coeff,ratio,4.00,4.00,
breakdown,L9_PIP,rot_init_data_bytes,B,197485.71,184320.00,
breakdown,L9_PIP,comp_data_bytes,B,0.00,0.00,
breakdown,L9_PIP,scaler_data_bytes,B,0.00,0.00,
breakdown,L9_PIP,pipeline_data_bytes,B,197485.71,184320.00,
breakdown,L9_PIP,streaming_MBps,MB/s,1370.75,1999.50,
breakdown,L9_PIP,rotation_demanded_MBps,MB/s,1137.91,977.60,
breakdown,term,IB_rotation_preload_MBps,MB/s,3698.21,1417.53,3637.87
breakdown,term,IB_outfifo_preload_MBps,MB/s; binding,3735.58,2599.33,3752.12
breakdown,term,IB_streaming_MBps,MB/s,3598.23,5273.69,4317.87
breakdown,L1_Camera_1080p,name,,,L1_Camera_1080p,
breakdown,L1_Camera_1080p,fmt,,,RGB_4B,
breakdown,L1_Camera_1080p,dst_w,,,1440,
breakdown,L1_Camera_1080p,dst_h,,,810,
breakdown,L1_Camera_1080p,bpp,bits/pixel,,32,
breakdown,L1_Camera_1080p,read_line,lines,,8,
breakdown,L1_Camera_1080p,lmc,lines,,8,
breakdown,L1_Camera_1080p,compressed,,,True,
breakdown,L1_Camera_1080p,compression_mode,,,sajc,
breakdown,L1_Camera_1080p,hdr,,,False,
breakdown,L1_Camera_1080p,scaling,,,True,
breakdown,L1_Camera_1080p,rotation,,,False,
breakdown,L1_Camera_1080p,dpuf,index,,1,
breakdown,L1_Camera_1080p,scale_v,ratio,,1.50,
breakdown,L1_Camera_1080p,stream_coeff,ratio,,1.50,
breakdown,L1_Camera_1080p,rot_init_data_bytes,B,,0.00,
breakdown,L1_Camera_1080p,comp_data_bytes,B,,61440.00,
breakdown,L1_Camera_1080p,scaler_data_bytes,B,,30720.00,
breakdown,L1_Camera_1080p,pipeline_data_bytes,B,,92160.00,
breakdown,L1_Camera_1080p,streaming_MBps,MB/s,,1124.72,
breakdown,L1_Camera_1080p,rotation_demanded_MBps,MB/s,,N/A,
breakdown,L5_UI_HDR,name,,,L5_UI_HDR,
breakdown,L5_UI_HDR,fmt,,,RGB_8B_FP16,
breakdown,L5_UI_HDR,dst_w,,,1440,
breakdown,L5_UI_HDR,dst_h,,,2560,
breakdown,L5_UI_HDR,bpp,bits/pixel,,64,
breakdown,L5_UI_HDR,read_line,lines,,8,
breakdown,L5_UI_HDR,lmc,lines,,4,
breakdown,L5_UI_HDR,compressed,,,True,
breakdown,L5_UI_HDR,compression_mode,,,sajc,
breakdown,L5_UI_HDR,hdr,,,True,
breakdown,L5_UI_HDR,scaling,,,False,
breakdown,L5_UI_HDR,rotation,,,False,
breakdown,L5_UI_HDR,dpuf,index,,1,
breakdown,L5_UI_HDR,scale_v,ratio,,1.00,
breakdown,L5_UI_HDR,stream_coeff,ratio,,2.50,
breakdown,L5_UI_HDR,rot_init_data_bytes,B,,0.00,
breakdown,L5_UI_HDR,comp_data_bytes,B,,46080.00,
breakdown,L5_UI_HDR,scaler_data_bytes,B,,0.00,
breakdown,L5_UI_HDR,pipeline_data_bytes,B,,46080.00,
breakdown,L5_UI_HDR,streaming_MBps,MB/s,,1249.69,
breakdown,L5_UI_HDR,rotation_demanded_MBps,MB/s,,N/A,
breakdown,L9_PIP_720p,name,,,,L9_PIP_720p
breakdown,L9_PIP_720p,fmt,,,,YUV_8B
breakdown,L9_PIP_720p,dst_w,,,,N/A
breakdown,L9_PIP_720p,dst_h,,,,N/A
breakdown,L9_PIP_720p,bpp,bits/pixel,,,12
breakdown,L9_PIP_720p,read_line,lines,,,64
breakdown,L9_PIP_720p,lmc,lines,,,4
breakdown,L9_PIP_720p,compressed,,,,False
breakdown,L9_PIP_720p,compression_mode,,,,sajc
breakdown,L9_PIP_720p,hdr,,,,False
breakdown,L9_PIP_720p,scaling,,,,True
breakdown,L9_PIP_720p,rotation,,,,True
breakdown,L9_PIP_720p,dpuf,index,,,1
breakdown,L9_PIP_720p,scale_v,ratio,,,2.00
breakdown,L9_PIP_720p,stream_coeff,ratio,,,2.00
breakdown,L9_PIP_720p,rot_init_data_bytes,B,,,98742.86
breakdown,L9_PIP_720p,comp_data_bytes,B,,,0.00
breakdown,L9_PIP_720p,scaler_data_bytes,B,,,7680.00
breakdown,L9_PIP_720p,pipeline_data_bytes,B,,,106422.86
breakdown,L9_PIP_720p,streaming_MBps,MB/s,,,1644.90
breakdown,L9_PIP_720p,rotation_demanded_MBps,MB/s,,,699.59
